cluster_id,confidence,Id,source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
1,0.97426807880401611,144,IRMA,699,Callahan Middle School,,,,badphone,,,,,,30.569625,-81.840556,"450121 Old Dixie Hwy, Callahan, FL 32011, USA",Callahan,Florida,32011,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
9,0.228858,147,IRMA,122,Campbell Middle School,,,,3862584661,,,,,,29.1951809,-81.0305003,625 S Keech St,Daytona Beach,,32114,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
17,0.336733,154,IRMA,831,Celebration High School,,,,4077420000,,,,,,28.299795,-81.568997,"Celebration, FL 34747, USA",Celebration,,34747,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
37,0.70055429140726733,157,IRMA,914,Central High School,,,,3527544083,,,,,,28.564038,-82.4964284,"14075 Ken Austin Pkwy, Brooksville, FL 34614, USA",Brooksville,,34614,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
37,0.43918705979983008,163,IRMA,801,Challenger K-8 School of Sciences and Mathematics,,,,3527544083,,,,,,28.495521,-82.501985,"13400 Elgin Blvd, Spring Hill, FL 34609, USA",Spring Hill,,34609,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
55,0.95510685443878174,170,IRMA,253,Chester A Moore Elementary,,,,7724604357,,,,,,27.4568716,-80.3539566,"827 North 29th Street, Fort Pierce, FL, United States",Fort Pierce,Florida,34947,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
24,0.39971888065338135,175,IRMA,408,Chimney Lakes Elementary,,,,9046302489,,,,,,30.196264,-81.802544,9353 Staples Mill Drive,Jacksonville,,32244,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
35,0.96646368503570557,178,IRMA,909,Chocachatti Elementary,,,,3527544083,,,,,,28.4904375,-82.4628051,"4135 California St, Spring Hill, FL 34604, USA",Spring Hill,,34604,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
43,0.97513818740844727,180,IRMA,976,Church of Jesus Christ of Latter-Day Saints,,,,badphone,,,,,,30.8889207,-84.5620051,"1510 N Longleaf Dr, Bainbridge, GA 39819, USA",Bainbridge,,39819,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.54421051343282056,181,IRMA,863,Cimino Elementary School,,,,8132725900,,,,,,27.8790508,-82.2443183,"4329 Culbreath Rd, Valrico, FL 33596, USA",Valrico,,33596,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
41,0.95412,182,IRMA,59,Citrus Grove Elementary,,,,badphone,,,,,,27.174993,-80.31708,"2527 SW Citrus Boulevard, Palm City FL 34990",Palm City,,34990,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
81,0.6391757527987163,187,IRMA,486,Clay High School,,,,9042847703,,,,,,29.982069,-81.712222,"2025 FL-16, Green Cove Springs, FL, United States",Green Cove Springs,Florida,32043,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
79,0.177401,189,IRMA,1180,Clewiston High School,,,,8639831520,,,,,,26.7411975,-80.9251372,"1501 Francisco St, Clewiston, FL 33440, USA",Clewiston,,33440,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.43449461062749228,194,IRMA,892,Colleen Lunsford Bevis Elementary School,,,,8132725900,,,,,,27.84935,-82.231504,"5720 Osprey Ridge Dr, Lithia, FL 33547, USA",Lithia,,33547,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.49683982531229653,197,IRMA,920,Collins Elementary School,,,,8132725900,,,,,,27.8111825,-82.317806,"12424 Summerfield Blvd, Riverview, FL 33579, USA",Riverview,,33579,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
34,0.43213078379631042,198,IRMA,533,Colonial High School,,,,4078369140,,,,,,28.552532,-81.301805,6100 Oleander Dr.,Orlando,FL,32807,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.32778003811836243,205,IRMA,447,Coral Park Senior High,,,,3054685900,,,,,,25.7555458,-80.3393051,"8865 Southwest 16th Street, Miami, FL, United States",Miami,Florida,33165,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
60,0.41211191813151038,206,IRMA,437,Coral Shores High School,,,,3052896018,,,,,,25.0038912,-80.5228767,"89901 Overseas Hwy, Tavernier, FL 33070, USA",Tavernier,Florida,33070,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.48028778235117597,209,IRMA,921,Cork Elementary School,,,,8132725900,,,,,,28.050147,-82.176986,"3501 Cork Rd, Plant City, FL 33565, USA",Plant City,,33565,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
31,0.95233601331710815,211,IRMA,448,Country Club Middle School,,,,3054685900,,,,,,25.939632,-80.322557,"18305 NW 75th Pl, Hialeah, FL, United States",Hialeah,Florida,33015,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
64,0.97940593957901001,212,IRMA,511,Country Oaks Elementary School,,,,8636745410,,,,,,26.7520888,-81.4126811,"2052 NW Eucalyptus Blvd, LaBelle, FL, United States",LaBelle,Florida,33935,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
10,0.96299290657043457,219,IRMA,139,Crystal Lake Elementary,,,,4076655102,,,,,,28.7617248,-81.3476914,231 Rinehart Rd,Lake Mary,,32746,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
48,0.3843197226524353,220,IRMA,397,Cypress Creek Elementary School,,,,8132747700,,,,,,27.7351688,-82.4288936,"400 19th Ave NE, Ruskin, FL 33570, United States",Ruskin,Florida,33570,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
69,0.211968,222,IRMA,335,Cypress Palm Middle School,,,,2393775200,,,,,,26.2645394,-81.5239434,"4255 18th Avenue Northeast, Naples, FL, United States",Naples,Florida,34120,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
36,0.96317756175994873,224,IRMA,802,D.S. Parrott Middle School,,,,3527544083,,,,,,28.5911296,-82.413705,"19220 Youth Dr, Brooksville, FL 34601, USA",Brooksville,,34601,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
72,0.973312,226,IRMA,69,David Anderson Middle School (Special Needs),,,,badphone,,,,,,27.118859,-80.2429227,"7000 Atlantic Ridge Drive Stuart, Florida 34997",Stuart,,34997,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
43,0.96476486325263977,232,IRMA,977,Decatur Memorial Coliseum,,,,badphone,,,,,,30.8988385,-84.5550186,"600 S Wheat Ave, Bainbridge, GA 39819, USA",Bainbridge,,39819,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
61,0.944467,241,IRMA,1250,Dixie/Gilchrist Special Needs Shelter,,,,badphone,,,,,,29.75154,-82.859312,"930 S Main St, Bell, FL 32619, USA",Bell,,32619,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
82,0.95707115530967712,248,IRMA,222,Doyle Conner Building,,,,badphone,,,,,,26.833646,-81.103031,"900 US-27, Moore Haven, FL 33471",Moore Haven,,33471,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
70,0.47719457745552063,252,IRMA,929,Dublin High School,,,,4046357000,,,,,,32.5479824,-82.9303512,"1127 Hillcrest Pkwy, Dublin, GA 31021, USA",Dublin,,31021,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
86,0.989548,254,IRMA,1216,Dunbar High School,,,,2395330622,,,,,,26.63042,-81.834197,"3800 Edison Ave, Fort Myers, FL 33916, USA",Fort Myers,,33916,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
86,0.989548,255,IRMA,1217,Dunbar Middle School,,,,2395330622,,,,,,26.605623,-81.8376761,"Winkler Ave Ext, Fort Myers, FL 33916, USA",Fort Myers,,33916,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
6,0.995042,267,IRMA,207,East Lee County High School,,,,2393692932,,,,,,26.5581227,-81.6040692,"715 Thomas Sherwin Ave, Lehigh Acres, FL 33974",Lehigh Acres,,33974,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
6,0.995042,268,IRMA,1227,East Lee County High School,,,,2393692932,,,,,,26.5590399,-81.6021364,"715 Thomas Sherwin Ave S, Lehigh Acres, FL 33974, USA",Lehigh Acres,,33974,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
7,0.33340224623680115,270,IRMA,1039,East Ridge Middle School,,,,3522539999,,,,,,28.5386393,-81.7195772,"13201 Excalibur Rd, Clermont, FL 34711, USA",Clermont,,34711,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
34,0.42316840092341101,271,IRMA,534,East River High School,,,,4078369140,,,,,,28.5555582,-81.1313285,"650 East River Falcons Way, 654 Columbia School Rd, Orlando, FL 32833, USA",Orlando,,32833,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
76,0.9609752893447876,274,IRMA,645,Easton Newbery Sports Complex,,,,3522646557,,,,,,29.6690705,-82.604014,"24880 NW 16 Ave, Newberry, FL 32669, USA",Newberry,Florida,32669,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
