Source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
IRMA,1021,Gotha Middle School,,,,badphone,,,,,,28.530036,-81.511303,"9155 Gotha Rd, Windermere, FL 34786, USA",Windermere,,34786,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1136,Grace United Methodist Church,,,,9414881374,,,,,,27.0820033,-82.4379796,"400 Field Ave E, Venice, FL 34285, USA",Venice,,34285,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,927,Grady County Agriculture Center,,,,badphone,,,,,,30.8884567,-84.2061197,"65 11th Ave NE, Cairo, GA 39828, USA",Cairo,,39828,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1248,Grand Isle Baptist Church,,,,3523570008,,,,,,28.883351,-81.736394,"13229 County Rd 44, Grand Island, FL 32735, USA",Grand Island,,32735,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,405,Greco Middle School,,,,8132747700,,,,,,28.052434,-82.375522,"6925 E Fowler Ave, Tampa, FL 33617",Tampa,,33617,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,373,Gulf Coast High School,,,,2393771400,,,,,,26.270665,-81.708316,"7878 Shark Way, Naples, FL 34119, United States",Naples,Florida,34119,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,92,Gulf Gate Elementary School,,,,9413616499,,,,,,27.261031,-82.507975,"6500 S Lockwood Ridge Rd, Sarasota, FL 34231",Sarasota,,34231,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1115,Gulf State Park,,,,2519487275,,,,,,30.2525454,-87.6647322,"20115 AL-135, Gulf Shores, AL 36542, USA",Gulf Shores,,36542,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,315,Gulfport Elementary School,,,,7278932643,,,,,,27.7501882,-82.7050352,2014 52nd St. S.,Gulfport,,33707,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,39,Gullet Elementary School,,,,9417272067,,,,,,27.4615037,-82.4241195,12125 44th Ave E,Bradenton,,34211,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,148,Hagerty High School,,,,4076655102,,,,,,28.6255124,-81.1805547,3225 Lockwood Blvd,Oviedo,,32765,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,852,Haines City High School,,,,badphone,,,,,,28.0996835,-81.6082657,"2800 Hornet Dr, Haines City, FL 33844, USA",Haines City,,33844,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1082,Hamburg State Park,,,,4785522393,,,,,,33.2276114,-82.7736492,"6071 Hamburg State Park Rd, Mitchell, GA 30820, USA",Mitchell,,30820,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,782,Hamilton County High School Gym,,,,3867928100,,,,,,30.4787252,-82.9304566,"5683 US-129, Jasper, FL 32052, USA",Jasper,,32052,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,690,Hammett Bowen Elementary,,,,badphone,,,,,,29.0863771,-82.19484,"4397 SW 95th St, Ocala, FL 34476, USA",Ocala,Florida,34476,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,452,Hammocks Middle School ,,,,3054685900,,,,,,25.674481,-80.441849,"9889 Hammocks Boulevard, Miami, FL, United States",Miami,Florida,33196,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,325,Hammond Elementary School,,,,badphone,,,,,,28.1132791,-82.5741863,"8008 N Mobley Rd, Odessa, FL 33556, United States",Odessa,Florida,33556,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,747,Hampton Elementary School,,,,9044681212,,,,,,29.8689256,-82.1279956,"10501 Hampton Ave, Hampton, FL 32044, USA",Hampton,,32044,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1068,Hard Labor Creek State Park ,,,,7065573001,,,,,,33.6638553,-83.6061542,"5 Hard Labor Creek Rd, Rutledge, GA 30663, USA",Rutledge,,30663,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,138,Harmony High School,,,,4079339900,,,,,,28.1874698,-81.1520084,"3601 Arthur J Gallagher Blvd, St Cloud, FL 34771, USA",Saint Cloud,,34771,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,600,Harns Marsh Elementary School,,,,2396901249,,,,,,26.6370562,-81.6932709,"1800 Unice Ave N, Lehigh Acres, FL 33971, USA",Lehigh Acres,,33971,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,265,Harns Marsh Middle School,,,,2396902025,,,,,,26.6401403,-81.6952046," 1820 23rd St W, Lehigh Acres, FL 33971",Lehigh Acres,,33971,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,817,Havana Middle School ,,,,badphone,,,,,,30.6235362,-84.4041755,"1210 Kemp Rd, Havana, FL 32333, USA",Havana,,32333,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,436,Havert L. Fenn Center (Special Needs-Only),,,,7724621521,,,,,,27.4263722,-80.3449147,"2000 Virginia Ave, Fort Pierce, FL 34982, United States",Fort Pierce,Florida,34982,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,983,Healing Clinic Ministry,,,,badphone,,,,,,32.1601457,-81.9051823,"23 S Newton St, Claxton, GA 30417, USA",Claxton,,30417,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1101,Hemingway High School,,,,8435589413,,,,,,33.7481791,-79.4470041,"402 S Main St, Hemingway, SC 29554, USA",Hemingway,,29554,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,390,Herbert Grigg Home for the Aged,,,,badphone,,,,,,17.7230296,-64.782923,Kingshill,Kingshill,,850,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1249,Heritage Baptist Church,,,,3347937859,,,,,,31.2605824,-85.4260525,"1951 Westgate Pkwy, Dothan, AL 36303, USA",Dothan,,36303,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,738,Heritage High School,,,,3217224178,,,,,,28.0023179,-80.7437057,"2351 Malabar Rd, Palm Bay, FL 32907, USA",Palm Bay,,32907,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,177,Heritage Middle School,,,,3865754113,,,,,,28.8918624,-81.171966,1001 Parnell Ct,Deltona,,,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,670,Hernando High School Building 25,,,,3527544083,,,,,,28.5634917,-82.3837743,"700 Bell Ave, Brooksville, FL 34601, USA",Brooksville,Florida,34601,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,96,Heron Creek Middle School,,,,9414803371,,,,,,27.0690597,-82.2270798,"6501 W Price Blvd, North Port, FL 34291",North Port,,34291,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,453,Hialeah Gardens Middle School ,,,,3054685900,,,,,,25.8802036,-80.3479421,"11690 Northwest 92 Avenue, Hialeah Gardens, Miami-Dade County, FL, United States",Hialeah Gardens,Florida,33018,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,454,Hialeah Gardens Senior High ,,,,3054685900,,,,,,25.8798001,-80.3532702,"11700 Hialeah Gardens Blvd, Hialeah Gardens, FL, United States",Hialeah Gardens,Florida,33018,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,455,Hialeah Miami Lakes Senior High,,,,3054685900,,,,,,25.8950887,-80.3066324,"7977 West 12th Avenue, Hialeah, FL, United States",Hialeah,Florida,33014,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,456,Hialeah Middle School,,,,3054685900,,,,,,25.8776133,-80.2682137,"6027 E 7th Ave, Hialeah, FL, United States",Hialeah,Florida,33013,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,457,Hialeah Senior High School,,,,3054685900,,,,,,25.8657069,-80.2754179,"251 East 47th Street, Hialeah, FL, United States",Hialeah,Florida,33013,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,58,Hidden Oaks Middle School,,,,badphone,,,,,,27.162593,-80.292021,"2801 SW Martin Hwy, Palm City, FL 34990, USA",Palm City,,34990,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1189,High Falls Group Shelter,,,,badphone,,,,,,33.1789609,-84.0196571,"76 High Falls Park Dr, Jackson, GA 30233, USA",Jackson,,30233,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,344,High Point Elementary School,,,,7275387440,,,,,,27.9096661,-82.7164158,5921 150th Ave. N.,Clearwater,,33760,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,620,High Springs Community School,,,,3522646557,,,,,,29.834401,-82.590418,"1015 N Main St, High Springs, FL 32643, USA",High Springs,,32643,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,10,Highland Oaks Middle School,,,,badphone,,,,,,25.9639927,-80.1541953,"2375 Northeast 203rd Street, Miami, FL, United States",Miami,Florida,33180,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,162,Highlands Elementary,,,,4076655102,,,,,,28.7165191,-81.319863,1600 Shepard Rd,Winter Springs,,32708,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,310,Highlands Elementary School,,,,2393777100,,,,,,26.4317208,-81.4309327,"1101 Lake Trafford Rd, Immokalee, FL 34142",Immokalee,,34142,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
